Species,Increasing.Rank.Min,Decreasing.Rank.Min,Increasing.Rank.Max,Decreasing.Rank.Max,Increasing.Rank.Average,Decreasing.Rank.Average,Decre.maxRank.P,Decre.aveRank.P,Incre.aveRank.P,Decre.minRank.P,Decre.minRank.P.FDR,Decre.maxRank.P.FDR,Decre.aveRank.P.FDR,Ctlmean,Dismean,Shape,Label,Label2,Origin
Pathway522,9186,807,9195,816,9190.5,811.5,0.081591841,0.081141886,0.91896 ,0.080691931,0.303826169,0.362924337,0.356466679,6.58E-07,1.61E-06,B,,,THREOCAT.PWY..superpathway.of.L.threonine.metabolism
Pathway18,9184,818,9184,818,9184,818,0.081791821,0.081791821,0.91831 ,0.081791821,0.303826169,0.362924337,0.356466679,5.38E-06,6.44E-06,B,,,AST.PWY..L.arginine.degradation.II..AST.pathway.
Pathway291,9177,817,9185,825,9181,821,0.082491751,0.082091791,0.91801 ,0.081691831,0.303826169,0.362924337,0.356466679,3.73E-07,8.28E-07,B,,,PWY.6185..4.methylcatechol.degradation..ortho.cleavage.
Pathway56,9177,822,9180,825,9178.5,823.5,0.082491751,0.082341766,0.91776 ,0.082191781,0.303826169,0.362924337,0.356466679,2.13E-05,2.42E-05,B,,,GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation
Pathway2,9171,829,9173,831,9172,830,0.083091691,0.082991701,0.91711 ,0.082891711,0.304314774,0.362924337,0.356466679,5.52E-06,5.34E-06,B,,,X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation
Pathway358,9144,813,9189,858,9166.5,835.5,0.085791421,0.083541646,0.91656 ,0.081291871,0.303826169,0.362924337,0.356466679,1.76E-07,1.20E-07,B,,,PWY.6876..isopropanol.biosynthesis
Pathway410,9164,837,9165,838,9164.5,837.5,0.083791621,0.083741626,0.91636 ,0.083691631,0.305161321,0.362924337,0.356466679,1.34E-05,1.50E-05,B,,,PWY.7254..TCA.cycle.VII..acetate.producers.
Pathway535,9092,767,9235,910,9163.5,838.5,0.090990901,0.083841616,0.91626 ,0.076692331,0.297877459,0.363963604,0.356466679,6.94E-09,2.42E-07,B,,,VALDEG.PWY..L.valine.degradation.I
Pathway484,9145,850,9152,857,9148.5,853.5,0.085691431,0.085341466,0.91476 ,0.084991501,0.306204046,0.362924337,0.356466679,7.77E-07,1.95E-06,B,,,PWY3DJ.35471..L.ascorbate.biosynthesis.IV
Pathway356,9142,854,9148,860,9145,857,0.085991401,0.085691431,0.91441 ,0.085391461,0.306204046,0.362924337,0.356466679,4.70E-07,6.08E-07,B,,,PWY.6837..fatty.acid.beta.oxidation.V..unsaturated..odd.number..di.isomerase.dependent.
Pathway533,9143,857,9145,859,9144,858,0.085891411,0.085791421,0.91431 ,0.085691431,0.306204046,0.362924337,0.356466679,2.03E-06,2.91E-06,B,,,URDEGR.PWY..superpathway.of.allantoin.degradation.in.plants
Pathway137,8261,1,10001,1741,9131,871,0.174082592,0.087091291,0.91301 ,1.00E-04,0.00243612,0.493634847,0.356752111,0,3.57E-09,B,,,PWY.1541..superpathway.of.taurine.degradation
Pathway337,9130,872,9130,872,9130,872,0.087191281,0.087191281,0.91291 ,0.087191281,0.309500176,0.363963604,0.356752111,2.76E-05,2.93E-05,B,,,PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis
Pathway492,9111,882,9120,891,9115.5,886.5,0.089091091,0.088641136,0.91146 ,0.088191181,0.310779312,0.363963604,0.357164284,1.47E-07,3.05E-07,B,,,PWY66.367..ketogenesis
Pathway217,9109,893,9109,893,9109,893,0.089291071,0.089291071,0.91081 ,0.089291071,0.310779312,0.363963604,0.357164284,1.55E-05,1.75E-05,B,,,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation
Pathway294,9105,889,9113,897,9109,893,0.089691031,0.089291071,0.91081 ,0.088891111,0.310779312,0.363963604,0.357164284,1.76E-07,2.27E-07,B,,,PWY.622..starch.biosynthesis
Pathway370,9095,904,9098,907,9096.5,905.5,0.090690931,0.090540946,0.90956 ,0.090390961,0.311604737,0.363963604,0.357626002,1.00E-05,1.12E-05,B,,,PWY.7013..L.1.2.propanediol.degradation
Pathway106,9094,907,9095,908,9094.5,907.5,0.090790921,0.090740926,0.90936 ,0.090690931,0.311604737,0.363963604,0.357626002,5.97E-05,5.81E-05,B,,,P161.PWY..acetylene.degradation
Pathway496,9082,918,9084,920,9083,919,0.091990801,0.091890811,0.90821 ,0.091790821,0.313375032,0.36523755,0.359514414,9.22E-06,1.20E-05,B,,,PWY66.389..phytol.degradation
Pathway315,9034,954,9048,968,9041,961,0.096790321,0.096090391,0.90401 ,0.095390461,0.320227977,0.3786833,0.370535608,2.14E-07,4.08E-07,B,,,PWY.6415..L.ascorbate.biosynthesis.V
Pathway51,9036,956,9046,966,9041,961,0.096590341,0.096090391,0.90401 ,0.095590441,0.320227977,0.3786833,0.370535608,2.37E-07,7.06E-07,B,,,GALLATE.DEGRADATION.II.PWY..gallate.degradation.I
Pathway189,8972,932,9070,1030,9021,981,0.102989701,0.098090191,0.90201 ,0.093190681,0.316140538,0.396217521,0.375545303,3.16E-09,4.33E-08,B,,,PWY.5179..toluene.degradation.V..aerobic...via.toluene.cis.diol.
Pathway486,9000,999,9003,1002,9001.5,1000.5,0.100189981,0.100039996,0.90006 ,0.099890011,0.331823608,0.389143694,0.380293886,5.54E-07,7.63E-07,B,,,PWY3O.19..ubiquinol.6.biosynthesis.from.4.hydroxybenzoate..eukaryotic.
Pathway381,8967,1030,8972,1035,8969.5,1032.5,0.103489651,0.103239676,0.89686 ,0.102989701,0.33866552,0.396217521,0.389693425,8.97E-07,1.23E-06,B,,,PWY.7118..chitin.degradation.to.ethanol
Pathway310,8906,1095,8907,1096,8906.5,1095.5,0.109589041,0.109539046,0.89056 ,0.109489051,0.353530912,0.413660042,0.407688886,5.12E-05,5.96E-05,B,,,PWY.6353..purine.nucleotides.degradation.II..aerobic.
Pathway193,8804,1003,8999,1198,8901.5,1100.5,0.119788021,0.110038996,0.89006 ,0.100289971,0.331823608,0.428042529,0.407688886,8.37E-09,8.95E-08,B,,,PWY.5183..superpathway.of.aerobic.toluene.degradation
Pathway37,8898,1102,8900,1104,8899,1103,0.110388961,0.110288971,0.88981 ,0.110188981,0.353660442,0.413765616,0.407688886,4.87E-06,4.62E-06,B,,,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis
Pathway50,8843,1148,8854,1159,8848.5,1153.5,0.115888411,0.115338466,0.88476 ,0.114788521,0.364063002,0.426554605,0.420553863,2.21E-07,6.18E-07,B,,,GALLATE.DEGRADATION.I.PWY..gallate.degradation.II
Pathway90,8843,1148,8854,1159,8848.5,1153.5,0.115888411,0.115338466,0.88476 ,0.114788521,0.364063002,0.426554605,0.420553863,2.75E-07,7.65E-07,B,,,METHYLGALLATE.DEGRADATION.PWY..methylgallate.degradation
Pathway509,8840,1161,8841,1162,8840.5,1161.5,0.116188381,0.116138386,0.88396 ,0.116088391,0.364879791,0.426554605,0.42060929,9.86E-05,0.000108531,B,,,RHAMCAT.PWY..L.rhamnose.degradation.I
Pathway214,8828,1171,8831,1174,8829.5,1172.5,0.117388261,0.117238276,0.88286 ,0.117088291,0.364879791,0.428027946,0.421743061,8.60E-06,1.00E-05,B,,,PWY.5509..adenosylcobalamin.biosynthesis.from.cobyrinate.a.c.diamide.I
Pathway307,8819,1181,8821,1183,8820,1182,0.118288171,0.118188181,0.88191 ,0.118088191,0.365868615,0.428042529,0.422325767,6.20E-06,9.42E-06,B,,,PWY.6318..L.phenylalanine.degradation.IV..mammalian..via.side.chain.
Pathway185,8808,1192,8810,1194,8809,1193,0.119388061,0.119288071,0.88081 ,0.119188081,0.367154089,0.428042529,0.423433153,6.84E-05,7.63E-05,B,,,PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.
Pathway160,8252,654,9348,1750,8800,1202,0.174982502,0.120187981,0.87991 ,0.065393461,0.275991299,0.493634847,0.423820776,8.61E-10,2.65E-08,B,,,PWY.4722..creatinine.degradation.II
Pathway500,8777,1224,8778,1225,8777.5,1224.5,0.122487751,0.122437756,0.87766 ,0.122387761,0.374856229,0.434790958,0.42893227,8.07E-05,8.57E-05,B,,,PWY66.400..glycolysis.VI..metazoan.
Pathway35,8755,1236,8766,1247,8760.5,1241.5,0.124687531,0.124137586,0.87596 ,0.123587641,0.376380544,0.43968761,0.432063287,3.73E-07,8.75E-07,B,,,DHGLUCONATE.PYR.CAT.PWY..glucose.degradation..oxidative.
Pathway456,8734,1268,8734,1268,8734,1268,0.126787321,0.126787321,0.87331 ,0.126787321,0.380252478,0.439821824,0.433877631,5.95E-05,6.61E-05,B,,,PWY.7664..oleate.biosynthesis.IV..anaerobic.
Pathway363,8731,1268,8734,1271,8732.5,1269.5,0.127087291,0.126937306,0.87316 ,0.126787321,0.380252478,0.439821824,0.433877631,4.81E-05,5.37E-05,B,,,PWY.6901..superpathway.of.glucose.and.xylose.degradation
Pathway394,8730,1270,8732,1272,8731,1271,0.127187281,0.127087291,0.87301 ,0.126987301,0.380252478,0.439821824,0.433877631,7.51E-05,8.03E-05,B,,,PWY.7211..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis
Pathway415,8720,1278,8724,1282,8722,1280,0.128187181,0.127987201,0.87211 ,0.127787221,0.380521948,0.440438007,0.43418443,7.45E-05,8.24E-05,B,,,PWY.7282..4.amino.2.methyl.5.phosphomethylpyrimidine.biosynthesis..yeast.
Pathway473,8709,1289,8713,1293,8711,1291,0.129287071,0.129087091,0.87101 ,0.128887111,0.381676749,0.440629355,0.435121488,7.46E-05,8.53E-05,B,,,PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis
Pathway491,8703,1299,8703,1299,8703,1299,0.129887011,0.129887011,0.87021 ,0.129887011,0.382524385,0.440629355,0.435121488,4.53E-05,4.53E-05,B,,,PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.
Pathway224,8672,1330,8672,1330,8672,1330,0.132986701,0.132986701,0.86711 ,0.132986701,0.389512961,0.448307371,0.441671496,8.19E-06,8.88E-06,B,,,PWY.5675..nitrate.reduction.V..assimilatory.
Pathway432,8659,1338,8664,1343,8661.5,1340.5,0.134286571,0.134036596,0.86606 ,0.133786621,0.389726245,0.449471617,0.441671496,2.17E-06,3.60E-06,B,,,PWY.7385..1.3.propanediol.biosynthesis..engineered.
Pathway465,8648,1351,8651,1354,8649.5,1352.5,0.135386461,0.135236476,0.86486 ,0.135086491,0.391212216,0.449471617,0.441671496,5.52E-05,6.43E-05,B,,,PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation
Pathway287,8640,1358,8644,1362,8642,1360,0.136186381,0.135986401,0.86411 ,0.135786421,0.391212216,0.449471617,0.441671496,3.40E-06,6.52E-06,B,,,PWY.6167..flavin.biosynthesis.II..archaea.
Pathway212,8635,1365,8637,1367,8636,1366,0.136686331,0.136586341,0.86351 ,0.136486351,0.391212216,0.449471617,0.441671496,1.04E-05,1.19E-05,B,,,PWY.5505..L.glutamate.and.L.glutamine.biosynthesis
Pathway226,7267,1,10001,2735,8634,1368,0.273472653,0.136786321,0.86331 ,1.00E-04,0.00243612,0.582577963,0.441671496,0,4.88E-08,B,,,PWY.5677..succinate.fermentation.to.butanoate
Pathway475,8610,1389,8613,1392,8611.5,1390.5,0.139186081,0.139036096,0.86106 ,0.138886111,0.395973169,0.454900851,0.446199167,3.76E-06,3.08E-06,B,,,PWY0.321..phenylacetate.degradation.I..aerobic.
Pathway417,8597,1398,8604,1405,8600.5,1401.5,0.140485951,0.140135986,0.85996 ,0.139786021,0.396430198,0.456366485,0.446199167,1.90E-06,3.73E-06,B,,,PWY.7286..7..3.amino.3.carboxypropyl..wyosine.biosynthesis
Pathway451,7189,1,10001,2813,8595,1407,0.281271873,0.140685931,0.85941 ,1.00E-04,0.00243612,0.584446498,0.446199167,0,1.99E-09,B,,,PWY.7606..docosahexaenoate.biosynthesis.III..mammals.
Pathway516,8566,1435,8567,1436,8566.5,1435.5,0.143585641,0.143535646,0.85656 ,0.143485651,0.401401527,0.461812501,0.45085316,3.22E-05,3.88E-05,B,,,SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis
Pathway125,8563,1438,8564,1439,8563.5,1438.5,0.143885611,0.143835616,0.85626 ,0.143785621,0.401401527,0.461812501,0.45085316,9.86E-05,0.000109346,B,,,PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.
Pathway272,8539,1463,8539,1463,8539,1463,0.146285371,0.146285371,0.85381 ,0.146285371,0.406264037,0.466719995,0.454779956,7.37E-05,7.78E-05,B,,,PWY.6113..superpathway.of.mycolate.biosynthesis
Pathway158,8498,1432,8570,1504,8534,1468,0.150384962,0.146785321,0.85331 ,0.143185681,0.401401527,0.471382102,0.454779956,6.40E-08,1.90E-07,B,,,PWY.4361..S.methyl.5.thio..alpha..D.ribose.1.phosphate.degradation
Pathway83,8521,1480,8522,1481,8521.5,1480.5,0.148085191,0.148035196,0.85206 ,0.147985201,0.40886633,0.469666643,0.456016467,5.42E-06,5.69E-06,B,,,LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis
Pathway288,8501,1499,8503,1501,8502,1500,0.150084992,0.149985001,0.85011 ,0.149885011,0.411991621,0.471382102,0.459382633,7.35E-05,8.27E-05,B,,,PWY.6168..flavin.biosynthesis.III..fungi.
Pathway321,8461,1532,8470,1541,8465.5,1536.5,0.154084592,0.153634637,0.84647 ,0.153184682,0.416035164,0.477395035,0.466000858,3.39E-06,4.07E-06,B,,,PWY.6518..glycocholate.metabolism..bacteria.
Pathway518,8461,1537,8465,1541,8463,1539,0.154084592,0.153884612,0.84622 ,0.153684632,0.416035164,0.477395035,0.466000858,5.51E-05,6.07E-05,B,,,TCA..TCA.cycle.I..prokaryotic.
Pathway366,8439,1562,8440,1563,8439.5,1562.5,0.156284372,0.156234377,0.84387 ,0.156184382,0.418842116,0.479595469,0.468429135,5.62E-05,6.18E-05,B,,,PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase.
Pathway361,8436,1563,8439,1566,8437.5,1564.5,0.156584342,0.156434357,0.84367 ,0.156284372,0.418842116,0.479595469,0.468429135,3.50E-05,4.00E-05,B,,,PWY.6895..superpathway.of.thiamin.diphosphate.biosynthesis.II
Pathway494,8351,1511,8491,1651,8421,1581,0.165083492,0.158084192,0.84202 ,0.151084892,0.413170928,0.482934315,0.468664961,8.37E-09,2.45E-08,B,,,PWY66.375..leukotriene.biosynthesis
Pathway163,8417,1583,8419,1585,8418,1584,0.158484152,0.158384162,0.84172 ,0.158284172,0.422091124,0.482055662,0.468664961,1.20E-06,1.98E-06,B,,,PWY.5004..superpathway.of.L.citrulline.metabolism
Pathway143,8391,1610,8392,1611,8391.5,1610.5,0.161083892,0.161033897,0.83907 ,0.160983902,0.422773257,0.482055662,0.468664961,8.37E-06,9.92E-06,B,,,PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type
Pathway211,8381,1617,8385,1621,8383,1619,0.162083792,0.161883812,0.83822 ,0.161683832,0.422773257,0.482055662,0.468664961,7.68E-05,8.38E-05,B,,,PWY.5484..glycolysis.II..from.fructose.6.phosphate.
Pathway299,8381,1617,8385,1621,8383,1619,0.162083792,0.161883812,0.83822 ,0.161683832,0.422773257,0.482055662,0.468664961,5.66E-05,6.17E-05,B,,,PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.
Pathway480,8382,1620,8382,1620,8382,1620,0.161983802,0.161983802,0.83812 ,0.161983802,0.422773257,0.482055662,0.468664961,6.04E-05,6.55E-05,B,,,PWY0.862...5Z..dodec.5.enoate.biosynthesis
Pathway335,8374,1625,8377,1628,8375.5,1626.5,0.162783722,0.162633737,0.83747 ,0.162483752,0.422773257,0.482055662,0.468664961,6.69E-05,7.59E-05,B,,,PWY.6608..guanosine.nucleotides.degradation.III
Pathway347,8364,1635,8367,1638,8365.5,1636.5,0.163783622,0.163633637,0.83647 ,0.163483652,0.423319987,0.482351765,0.469024755,0.000121049,0.000132678,B,,,PWY.6703..preQ0.biosynthesis
Pathway510,8344,1657,8345,1658,8344.5,1657.5,0.165783422,0.165733427,0.83437 ,0.165683432,0.426953459,0.482934315,0.472516578,7.51E-05,8.19E-05,B,,,RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.
Pathway188,8313,1671,8331,1689,8322,1680,0.168883112,0.167983202,0.83212 ,0.167083292,0.427233106,0.486673913,0.473933758,1.94E-07,4.56E-07,B,,,PWY.5178..toluene.degradation.IV..aerobic...via.catechol.
Pathway458,8313,1682,8320,1689,8316.5,1685.5,0.168883112,0.168533147,0.83157 ,0.168183182,0.427233106,0.486673913,0.473933758,8.14E-05,8.84E-05,B,,,PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I
Pathway293,8303,1679,8323,1699,8313,1689,0.169883012,0.168883112,0.83122 ,0.167883212,0.427233106,0.486937403,0.473933758,1.87E-07,2.63E-07,B,,,PWY.6215..4.chlorobenzoate.degradation
Pathway184,8256,1745,8257,1746,8256.5,1745.5,0.174582542,0.174532547,0.82557 ,0.174482552,0.440223885,0.493634847,0.487236693,4.60E-06,5.63E-06,B,,,PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation
Pathway221,8235,1761,8241,1767,8238,1764,0.176682332,0.176382362,0.82372 ,0.176082392,0.440223885,0.49463387,0.488705769,2.33E-06,1.96E-06,B,,,PWY.5656..mannosylglycerate.biosynthesis.I
Pathway477,8230,1766,8236,1772,8233,1769,0.177182282,0.176882312,0.82322 ,0.176582342,0.440223885,0.49463387,0.488705769,1.41E-06,1.72E-06,B,,,PWY0.42..2.methylcitrate.cycle.I
Pathway290,8211,1766,8236,1791,8223.5,1778.5,0.179082092,0.177832217,0.82227 ,0.176582342,0.440223885,0.497347156,0.488810606,2.46E-07,5.92E-07,B,,,PWY.6182..superpathway.of.salicylate.degradation
Pathway261,8168,1830,8172,1834,8170,1832,0.183381662,0.183181682,0.81692 ,0.182981702,0.451973236,0.505438687,0.498402952,1.63E-05,1.82E-05,B,,,PWY.5918..superpathay.of.heme.biosynthesis.from.glutamate
Pathway409,8163,1825,8177,1839,8170,1832,0.183881612,0.183181682,0.81692 ,0.182481752,0.451973236,0.505438687,0.498402952,8.25E-07,7.75E-07,B,,,PWY.7245..superpathway.NAD.NADP...NADH.NADPH.interconversion..yeast.
Pathway117,8119,1882,8120,1883,8119.5,1882.5,0.188281172,0.188231177,0.81187 ,0.188181182,0.460426685,0.514891368,0.505208303,3.86E-05,4.37E-05,B,,,P441.PWY..superpathway.of.N.acetylneuraminate.degradation
Pathway422,8109,1890,8112,1893,8110.5,1891.5,0.189281072,0.189131087,0.81097 ,0.188981102,0.460426685,0.514998246,0.505208303,4.92E-06,4.91E-06,B,,,PWY.7316..dTDP.N.acetylviosamine.biosynthesis
Pathway237,7241,1064,8938,2761,8089.5,1912.5,0.276072393,0.191230877,0.80887 ,0.106389361,0.345604227,0.582577963,0.505208303,6.67E-10,2.21E-09,B,,,PWY.5754..4.hydroxybenzoate.biosynthesis.I..eukaryotes.
Pathway485,7241,1064,8938,2761,8089.5,1912.5,0.276072393,0.191230877,0.80887 ,0.106389361,0.345604227,0.582577963,0.505208303,8.24E-10,2.52E-09,B,,,PWY3O.1109..superpathway.of.4.hydroxybenzoate.biosynthesis..yeast.
Pathway65,8087,1912,8090,1915,8088.5,1913.5,0.191480852,0.191330867,0.80877 ,0.191180882,0.461442645,0.516116388,0.505208303,8.05E-05,8.59E-05,B,,,GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.
Pathway11,8076,1920,8082,1926,8079,1923,0.192580742,0.192280772,0.80782 ,0.191980802,0.461442645,0.516116388,0.505208303,7.34E-06,7.77E-06,B,,,ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation
Pathway98,8076,1920,8082,1926,8079,1923,0.192580742,0.192280772,0.80782 ,0.191980802,0.461442645,0.516116388,0.505208303,7.34E-06,7.77E-06,B,,,ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation
Pathway105,8057,1942,8060,1945,8058.5,1943.5,0.194480552,0.194330567,0.80577 ,0.194180582,0.464646393,0.518614805,0.505736219,2.43E-06,3.74E-06,B,,,P125.PWY..superpathway.of..R.R..butanediol.biosynthesis
Pathway421,8040,1959,8043,1962,8041.5,1960.5,0.196180382,0.196030397,0.80407 ,0.195880412,0.466273373,0.520557845,0.505736219,1.07E-05,1.12E-05,B,,,PWY.7315..dTDP.N.acetylthomosamine.biosynthesis
Pathway282,7925,1856,8146,2077,8035.5,1966.5,0.207679232,0.196630337,0.80347 ,0.185581442,0.456291985,0.525075794,0.505736219,5.68E-09,9.54E-09,B,,,PWY.6145..superpathway.of.sialic.acids.and.CMP.sialic.acids.biosynthesis
Pathway233,8028,1969,8033,1974,8030.5,1971.5,0.197380262,0.197130287,0.80297 ,0.196880312,0.466273373,0.520856652,0.505736219,1.39E-05,1.51E-05,B,,,PWY.5723..Rubisco.shunt
Pathway234,7208,1170,8832,2794,8020,1982,0.279372063,0.198180182,0.80192 ,0.116988301,0.364879791,0.584446498,0.505736219,5.64E-10,1.71E-09,B,,,PWY.5724..superpathway.of.atrazine.degradation
Pathway478,8016,1981,8021,1986,8018.5,1983.5,0.198580142,0.198330167,0.80177 ,0.198080192,0.466273373,0.520856652,0.505736219,7.80E-05,7.89E-05,B,,,PWY0.781..aspartate.superpathway
Pathway150,8002,1997,8005,2000,8003.5,1998.5,0.199980002,0.199830017,0.80027 ,0.199680032,0.466273373,0.520856652,0.505736219,3.06E-06,5.01E-06,B,,,PWY.3781..aerobic.respiration.I..cytochrome.c.
Pathway443,8000,1999,8003,2002,8001.5,2000.5,0.200179982,0.200029997,0.80007 ,0.199880012,0.466273373,0.520856652,0.505736219,5.34E-06,5.31E-06,B,,,PWY.7446..sulfoglycolysis
Pathway191,7978,2001,8001,2024,7989.5,2012.5,0.202379762,0.201229877,0.79887 ,0.200079992,0.466273373,0.522868287,0.506381287,2.47E-07,7.22E-07,B,,,PWY.5181..toluene.degradation.III..aerobic...via.p.cresol.
Pathway264,7972,2030,7972,2030,7972,2030,0.202979702,0.202979702,0.79712 ,0.202979702,0.467817625,0.522868287,0.507902698,6.23E-05,6.64E-05,B,,,PWY.5971..palmitate.biosynthesis.II..bacteria.and.plants.
Pathway278,7963,2036,7966,2039,7964.5,2037.5,0.203879612,0.203729627,0.79637 ,0.203579642,0.467817625,0.522868287,0.507902698,0.000100871,0.000104941,B,,,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II
Pathway388,7945,2057,7945,2057,7945,2057,0.205679432,0.205679432,0.79442 ,0.205679432,0.467817625,0.524972265,0.509643045,0.000112512,0.000119513,B,,,PWY.7199..pyrimidine.deoxyribonucleosides.salvage
Pathway301,7935,2060,7942,2067,7938.5,2063.5,0.206679332,0.206329367,0.79377 ,0.205979402,0.467817625,0.525024275,0.509643045,1.77E-05,1.92E-05,B,,,PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.
Pathway208,7898,2091,7911,2104,7904.5,2097.5,0.210378962,0.209729027,0.79037 ,0.209079092,0.470867199,0.526930485,0.5133094,3.10E-07,6.77E-07,B,,,PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.
Pathway209,7898,2091,7911,2104,7904.5,2097.5,0.210378962,0.209729027,0.79037 ,0.209079092,0.470867199,0.526930485,0.5133094,3.10E-07,6.77E-07,B,,,PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate
Pathway198,7767,2018,7984,2235,7875.5,2126.5,0.223477652,0.212628737,0.78747 ,0.201779822,0.467817625,0.534750096,0.515818101,6.17E-07,1.83E-06,B,,,PWY.5304..superpathway.of.sulfur.oxidation..Acidianus.ambivalens.
Pathway357,7875,2127,7875,2127,7875,2127,0.212678732,0.212678732,0.78742 ,0.212678732,0.47270473,0.530213025,0.515818101,2.09E-05,2.38E-05,B,,,PWY.6859..all.trans.farnesol.biosynthesis
Pathway236,7837,2160,7842,2165,7839.5,2162.5,0.216478352,0.216228377,0.78387 ,0.215978402,0.47270473,0.534750096,0.519401973,7.51E-07,7.92E-07,B,,,PWY.5747..2.methylcitrate.cycle.II
Pathway265,7812,2187,7815,2190,7813.5,2188.5,0.218978102,0.218828117,0.78127 ,0.218678132,0.47270473,0.534750096,0.519401973,0.000145534,0.000153169,B,,,PWY.5973..cis.vaccenate.biosynthesis
Pathway228,7807,2194,7808,2195,7807.5,2194.5,0.219478052,0.219428057,0.78067 ,0.219378062,0.47270473,0.534750096,0.519401973,6.67E-05,6.84E-05,B,,,PWY.5690..TCA.cycle.II..plants.and.fungi.
Pathway289,7804,2191,7811,2198,7807.5,2194.5,0.219778022,0.219428057,0.78067 ,0.219078092,0.47270473,0.534750096,0.519401973,1.16E-06,1.40E-06,B,,,PWY.6174..mevalonate.pathway.II..archaea.
Pathway339,7793,2205,7797,2209,7795,2207,0.220877912,0.220677932,0.77942 ,0.220477952,0.47270473,0.534750096,0.519401973,1.29E-05,1.24E-05,B,,,PWY.6629..superpathway.of.L.tryptophan.biosynthesis
Pathway411,7785,2202,7800,2217,7792.5,2209.5,0.221677832,0.220927907,0.77917 ,0.220177982,0.47270473,0.534750096,0.519401973,8.70E-07,7.65E-07,B,,,PWY.7268..NAD.NADP.NADH.NADPH.cytosolic.interconversion..yeast.
